Date,Source,Site ID,POC,Daily Mean PM2.5 Concentration,Units,Daily AQI Value,Local Site Name,Daily Obs Count,Percent Complete,AQS Parameter Code,AQS Parameter Description,Method Code,Method Description,CBSA Code,CBSA Name,State FIPS Code,State,County FIPS Code,County,Site Latitude,Site Longitude
09/10/2017,AQS,60830011,3,6.8,ug/m3 LC,38,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/11/2017,AQS,60830011,3,9.3,ug/m3 LC,51,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/12/2017,AQS,60830011,3,6.8,ug/m3 LC,38,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/13/2017,AQS,60830011,3,6.9,ug/m3 LC,38,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/14/2017,AQS,60830011,3,5.1,ug/m3 LC,28,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/15/2017,AQS,60830011,3,5.1,ug/m3 LC,28,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/16/2017,AQS,60830011,3,8.2,ug/m3 LC,46,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/17/2017,AQS,60830011,3,10,ug/m3 LC,53,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/18/2017,AQS,60830011,3,8.2,ug/m3 LC,46,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/19/2017,AQS,60830011,3,8.3,ug/m3 LC,46,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/20/2017,AQS,60830011,3,8.5,ug/m3 LC,47,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/21/2017,AQS,60830011,3,5,ug/m3 LC,28,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/22/2017,AQS,60830011,3,5.9,ug/m3 LC,33,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/23/2017,AQS,60830011,3,6.3,ug/m3 LC,35,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/24/2017,AQS,60830011,3,5.5,ug/m3 LC,31,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/25/2017,AQS,60830011,3,6.5,ug/m3 LC,36,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/26/2017,AQS,60830011,3,9.2,ug/m3 LC,51,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/27/2017,AQS,60830011,3,11,ug/m3 LC,55,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/28/2017,AQS,60830011,3,7.7,ug/m3 LC,43,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/29/2017,AQS,60830011,3,9.7,ug/m3 LC,52,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
09/30/2017,AQS,60830011,3,11.1,ug/m3 LC,55,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
10/01/2017,AQS,60830011,3,12.5,ug/m3 LC,57,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
10/02/2017,AQS,60830011,3,11.2,ug/m3 LC,55,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
10/03/2017,AQS,60830011,3,10.4,ug/m3 LC,53,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
10/04/2017,AQS,60830011,3,7,ug/m3 LC,39,Santa Barbara,1,100.0000,88101,PM2.5 - Local Conditions,170,Met One BAM-1020 Mass Monitor w/VSCC,42200,"Santa Maria-Santa Barbara, CA",6,California,83,Santa Barbara,34.4277749961254,-119.691217778642
